2023,11,24,20,11,28,0010169701,50
2023,11,29,17,11,41,0010376454,50
2023,12,04,09,49,09,0010571123,50
2023,12,07,09,46,07,0010754269,50
2024,01,22,17,24,47,0012683185,50
2024,02,09,00,00,00,0013617031,120
2024,02,20,11,08,46,0014119312,50
2024,02,22,13,19,33,0014246032,50
2024,02,23,11,21,52,0014296303,50
2024,02,29,00,00,00,0014352789,120
2024,03,01,17,13,41,0014687408,50
2024,03,13,11,25,29,0015255177,50
2024,03,18,16,56,43,0015507564,50
2024,03,22,14,11,30,0015750758,50
2024,03,23,11,51,11,0015788065,50
2024,04,05,00,00,00,0016436753,120
2024,04,11,18,37,57,0016843664,50
2024,04,16,17,26,17,0017077833,50
2024,05,16,00,00,00,0018334741,120
2024,05,22,00,00,00,0018666211,120
2024,05,23,15,48,32,0018791948,50
2024,05,23,19,44,13,0018768683,50
2024,06,13,20,14,45,0019900976,50
2024,06,19,11,49,26,0020157768,50
2024,07,06,12,46,37,0020946436,50
2024,07,07,00,00,00,0020946484,120
2024,07,08,20,05,57,0021020406,50
2024,08,23,13,37,57,0022957685,50
2024,08,23,13,37,57,0022957685,50
2024,08,27,00,00,00,0023054174,120
2024,08,27,11,12,19,0023103364,50
2024,09,05,19,16,48,0023617033,50
2024,09,13,11,55,36,0024059237,50
2024,09,17,11,45,42,0024267172,50
